trip_id,usertype,gender,starttime,stoptime,tripduration,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,temperature,windchill,dewpoint,humidity,pressure,visibility,wind_speed,precipitation,events,rain,conditions,month
3940,Subscriber,Male,2013-06-27 01:06:00,2013-06-27 09:46:00,31177,91,Clinton St & Washington Blvd,41.88338,-87.64116999999999,31.0,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,66.0,-999.0,64.9,96.0,29.75,7.0,0.0,-9999.0,partlycloudy,0,Scattered Clouds,6
4095,Subscriber,Male,2013-06-27 12:06:00,2013-06-27 12:11:00,301,85,Michigan Ave & Oak St,41.90096039,-87.62377664,15.0,85,Michigan Ave & Oak St,41.90096039,-87.62377664,15.0,87.1,-999.0,69.1,55.0,29.75,10.0,13.8,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4113,Subscriber,Male,2013-06-27 11:09:00,2013-06-27 11:11:00,140,88,May St & Randolph St,41.88397,-87.655688,15.0,88,May St & Randolph St,41.88397,-87.655688,15.0,84.9,-999.0,70.0,61.0,29.75,10.0,10.4,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4118,Customer,,2013-06-27 12:11:00,2013-06-27 12:16:00,316,85,Michigan Ave & Oak St,41.90096039,-87.62377664,15.0,28,Larrabee St & Menomonee St,41.91468,-87.64331999999999,15.0,87.1,-999.0,69.1,55.0,29.75,10.0,13.8,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4119,Subscriber,Male,2013-06-27 11:12:00,2013-06-27 11:13:00,87,88,May St & Randolph St,41.88397,-87.655688,15.0,88,May St & Randolph St,41.88397,-87.655688,15.0,84.9,-999.0,70.0,61.0,29.75,10.0,10.4,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4134,Subscriber,Male,2013-06-27 11:24:00,2013-06-27 14:38:00,11674,17,Wood St & Division St,41.90332,-87.67273,15.0,61,Wood St & Milwaukee Ave,41.907655,-87.672552,15.0,84.9,-999.0,70.0,61.0,29.75,10.0,10.4,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4162,Subscriber,Male,2013-06-27 11:39:00,2013-06-27 16:01:00,15758,88,May St & Randolph St,41.88397,-87.655688,15.0,34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15.0,84.9,-999.0,70.0,61.0,29.75,10.0,10.4,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4192,Subscriber,Male,2013-06-27 12:15:00,2013-06-27 12:16:00,60,28,Larrabee St & Menomonee St,41.91468,-87.64331999999999,15.0,28,Larrabee St & Menomonee St,41.91468,-87.64331999999999,15.0,87.1,-999.0,69.1,55.0,29.75,10.0,13.8,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4216,Subscriber,Male,2013-06-27 13:00:00,2013-06-27 13:03:00,171,45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15.0,90,Millennium Park,41.8810317,-87.62408432,35.0,88.0,-999.0,66.9,49.0,29.75,10.0,15.0,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4255,Subscriber,Male,2013-06-27 13:18:00,2013-06-27 19:34:00,22549,45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15.0,54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19.0,88.0,-999.0,66.9,49.0,29.75,10.0,15.0,-9999.0,mostlycloudy,0,Mostly Cloudy,6
4263,Subscriber,Male,2013-06-27 14:39:00,2013-06-27 14:40:00,62,61,Wood St & Milwaukee Ave,41.907655,-87.672552,15.0,300,Broadway & Barry Ave,41.937739,-87.644094,15.0,89.1,-999.0,64.0,43.0,29.73,10.0,17.3,-9999.0,partlycloudy,0,Scattered Clouds,6
4275,Customer,,2013-06-27 14:44:00,2013-06-27 14:45:00,64,32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19.0,32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19.0,89.1,-999.0,64.0,43.0,29.73,10.0,17.3,-9999.0,partlycloudy,0,Scattered Clouds,6
