Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Opal Dreams,6.50,468,14443,14443,9000000
Major Dundee,6.70,2588,14873,14873,3800000
The Informers,5.20,7595,315000,315000,18000000
Buffalo Soldiers,6.90,13510,353743,353743,15000000
The Last Sin Eater,5.70,1012,388390,388390,2200000
The City of Your Final Destination,6.60,430,493296,493296,8300000
The Claim,6.50,3681,622023,622023,13000000
Texas Rangers,5.00,2645,623374,623374,38000000
Ride With the Devil,6.40,1873,630779,630779,35000000
Karakter,7.80,5531,713413,713413,4500000
Charly,5.80,60,814666,814666,950000
AimÈe & Jaguar,7.20,2974,927107,927107,6800000
Savage Grace,5.70,3838,434417,968805,4600000
Owning Mahowny,7.00,5789,1011054,1011054,10000000
A Home at the End of the World,6.70,7180,1029017,1033810,6500000
Thr3e,5.00,2825,1008849,1060418,2400000
Lolita,6.70,15197,1147784,1147784,55000000
Me and Orson Welles,7.10,2417,1190003,1190003,25000000
Bubba Ho-Tep,7.30,23110,1239183,1239183,1000000
The Good German,6.10,13007,1308696,1308696,32000000
Le hussard sur le toit,6.90,3083,1320043,1320043,35000000
"Gandhi, My Father",8.10,50881,240425,1375194,5000000
Married Life,6.40,4358,1506998,1506998,12000000
Nicholas Nickleby,7.30,4968,1562800,1562800,10000000
Oscar and Lucinda,6.70,3782,1612957,1612957,12500000
Spider,7.80,560,1641788,1641788,10000000
Jesus' Son,6.70,4620,1282084,1687548,2500000
The Dangerous Lives of Altar Boys,6.90,7943,1779284,1779284,12000000
Les herbes folles,6.70,915,377556,1877556,14000000
Thumbsucker,6.70,12109,1328679,1919197,4000000
Crazy in Alabama,5.70,3991,1954202,1954202,15000000
Felicia's Journey,6.90,4790,824295,1970268,15000000
Sur Le Seuil,6.70,585,2013052,2013052,2500000
The Work and the Glory: American Zion,5.60,365,2025032,2025032,6500000
A Dog of Flanders,5.90,482,2165637,2165637,7000000
Smilla's Sense of Snow,6.10,7280,2221994,2221994,35000000
Last Orders,7.00,3463,2326407,2326407,12000000
What Just Happened,5.90,12537,1090947,2412123,27000000
And When Did You Last See Your Father?,6.80,1798,1071240,2476491,8000000
