Title,IMDB Rating,Worldwide Gross
Opal Dreams,6.5,14443
Major Dundee,6.7,14873
The Informers,5.2,315000
Buffalo Soldiers,6.9,353743
The Last Sin Eater,5.7,388390
The City of Your Final Destination,6.6,493296
The Claim,6.5,622023
Texas Rangers,5.0,623374
Ride With the Devil,6.4,630779
Karakter,7.8,713413
Charly,5.8,814666
AimÈe & Jaguar,7.2,927107
Savage Grace,5.7,968805
Owning Mahowny,7.0,1011054
A Home at the End of the World,6.7,1033810
Thr3e,5.0,1060418
Lolita,6.7,1147784
Me and Orson Welles,7.1,1190003
Bubba Ho-Tep,7.3,1239183
The Good German,6.1,1308696
Le hussard sur le toit,6.9,1320043
"Gandhi, My Father",8.1,1375194
Married Life,6.4,1506998
Nicholas Nickleby,7.3,1562800
Oscar and Lucinda,6.7,1612957
Spider,7.8,1641788
Jesus' Son,6.7,1687548
The Dangerous Lives of Altar Boys,6.9,1779284
Les herbes folles,6.7,1877556
Thumbsucker,6.7,1919197
Crazy in Alabama,5.7,1954202
Felicia's Journey,6.9,1970268
Sur Le Seuil,6.7,2013052
The Work and the Glory: American Zion,5.6,2025032
A Dog of Flanders,5.9,2165637
Smilla's Sense of Snow,6.1,2221994
Last Orders,7.0,2326407
What Just Happened,5.9,2412123
And When Did You Last See Your Father?,6.8,2476491
Love and Death on Long Island,6.9,2542264
Infamous,7.1,2613717
Auto Focus,6.6,2703821
Cheri,6.1,2715657
The Perez Family,6.0,2794056
Jindabyne,6.4,2862544
The House of Mirth,6.8,3041803
The Work and the Glory,6.0,3347647
Crash,6.1,3357324
My Summer of Love,7.0,3800915
Restoration,6.5,4100000
Left Behind,5.0,4221341
The Sweet Hereafter,7.8,4306697
The Other Side of Heaven,6.3,4720371
The Virgin Suicides,7.2,4859475
Jakob the Liar,6.1,4956401
Control,7.8,5645350
Ed Wood,8.1,5828466
Impostor,6.0,6114237
A Sound of Thunder,4.1,6300451
Mary Reilly,5.5,6370115
Gods and Monsters,7.5,6451628
I Dreamed of Africa,5.2,6543194
The Last Station,7.0,6616974
The Big Bounce,4.8,6626115
Trapped,6.0,6916869
Obsluhoval jsem anglickÈho kr·le,7.4,7174984
Running With Scissors,6.0,7213629
Requiem for a Dream,8.5,7390108
A Scanner Darkly,7.2,7405084
Smoke Signals,6.9,7756617
Hoot,5.3,8224998
The Love Letter,5.1,8322608
Big Trouble,6.3,8488871
The Oxford Murders,6.1,8667348
Whatever it Takes,5.2,8735529
The Deep End,6.6,8823109
Miracle at St. Anna,5.9,9110458
