order_id,store,product,order_date,channel,units,unit_price
1001,North,Notebook,2024-03-01,online,12,$5.00
1002,North,Pen,2024-03-01,store,60,$2.00
1003,North,Folder,2024-03-02,online,24,$3.00
1004,North,Marker,2024-03-02,store,18,$4.00
1005,South,Notebook,2024-03-03,online,10,$5.00
1006,South,Pen,2024-03-03,store,55,$2.00
1007,South,Folder,2024-03-04,online,20,$3.00
1008,South,Marker,2024-03-04,store,,$4.00
1009,West,Notebook,2024-03-05,online,14,$5.00
1010,West,Pen,2024-03-05,store,unknown,$2.00
1011,West,Folder,2024-03-06,online,22,$3.00
1012,West,Marker,2024-03-06,store,16,$4.00
1013,North,Notebook,2024-03-08,store,50,$5.00
1014,North,Pen,2024-03-08,online,30,$2.00
1015,North,Folder,2024-03-09,store,12,$3.00
1016,North,Marker,2024-03-09,online,25,$4.00
1017,South,Notebook,2024-03-10,store,52,$5.00
1018,South,Pen,2024-03-10,online,19,$2.00
1019,South,Folder,2024-03-11,store,15,$3.00
1020,South,Marker,2024-03-11,online,21,$4.00
1021,West,Notebook,2024-03-12,store,48,$5.00
1022,West,Pen,2024-03-12,online,28,$2.00
1023,West,Folder,2024-03-13,store,11,$3.00
1024,West,Marker,2024-03-13,online,26,$4.00
